"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Step one 点击 Cancel → 返回购物车","79","Cancel 返回购物车","testcases","2026-08-27","passed","2026-08-27","TestCheckout","test_checkout","",""
"Last Name 空 → Error: Last Name is required","183","Last Name 为空校验","testcases","2026-08-27","passed","2026-08-27","TestCheckout","test_checkout","",""
"点击购物车商品标题 → 进入对应商品的详情页","70","点击购物车商品标题进入详情页","testcases","2026-08-27","passed","2026-08-27","TestCart","test_cart","",""
"First Name 空 → Error: First Name is required","164","First Name 为空校验","testcases","2026-08-27","passed","2026-08-27","TestCheckout","test_checkout","",""
"点击购物车商品标题 → 进入对应商品的详情页","69","点击购物车商品标题进入详情页","testcases","2026-08-27","passed","2026-08-27","TestCart","test_cart","",""
"点击购物车商品标题 → 进入对应商品的详情页","70","点击购物车商品标题进入详情页","testcases","2026-08-27","passed","2026-08-27","TestCart","test_cart","",""
"Step one 填写完整信息 → 进入 step two","249","完整信息填写成功进入 Step Two","testcases","2026-08-27","passed","2026-08-27","TestCheckout","test_checkout","",""
"点击购物车商品标题 → 进入对应商品的详情页","70","点击购物车商品标题进入详情页","testcases","2026-08-27","passed","2026-08-27","TestCart","test_cart","",""
"Zip/Postal Code 空 → Error: Postal Code is required","181","Zip/Postal Code 为空校验","testcases","2026-08-27","passed","2026-08-27","TestCheckout","test_checkout","",""
"点击 Continue Shopping → 返回主页继续购物","0","Continue Shopping 返回主页","testcases","2026-08-27","broken","2026-08-27","TestCart","test_cart","",""
"移除全部商品","0","购物车移除全部商品","testcases","2026-08-27","broken","2026-08-27","TestCart","test_cart","",""
"点击 Checkout → 进入结账流程 step one","0","Checkout 进入结账 Step One","testcases","2026-08-27","broken","2026-08-27","TestCart","test_cart","",""
"全部留空 → Error: First Name is required","0","全部字段留空校验","testcases","2026-08-27","broken","2026-08-27","TestCheckout","test_checkout","",""
"点击购物车商品标题 → 进入对应商品的详情页","70","点击购物车商品标题进入详情页","testcases","2026-08-27","passed","2026-08-27","TestCart","test_cart","",""
"点击购物车商品标题 → 进入对应商品的详情页","70","点击购物车商品标题进入详情页","testcases","2026-08-27","passed","2026-08-27","TestCart","test_cart","",""
